GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
8600000US03579,03579,ZCTA5 03579,461
8600000US03901,03901,ZCTA5 03901,7246
8600000US03902,03902,ZCTA5 03902,2211
8600000US03903,03903,ZCTA5 03903,6211
8600000US03904,03904,ZCTA5 03904,7703
8600000US03905,03905,ZCTA5 03905,1780
8600000US03906,03906,ZCTA5 03906,4647
8600000US03907,03907,ZCTA5 03907,894
8600000US03908,03908,ZCTA5 03908,7233
8600000US03909,03909,ZCTA5 03909,9738
8600000US03910,03910,ZCTA5 03910,328
8600000US03911,03911,ZCTA5 03911,250
8600000US04001,04001,ZCTA5 04001,2429
8600000US04002,04002,ZCTA5 04002,7351
8600000US04003,04003,ZCTA5 04003,330
8600000US04005,04005,ZCTA5 04005,23146
8600000US04006,04006,ZCTA5 04006,96
8600000US04008,04008,ZCTA5 04008,2723
8600000US04009,04009,ZCTA5 04009,5151
8600000US04010,04010,ZCTA5 04010,1597
8600000US04011,04011,ZCTA5 04011,20278
8600000US04015,04015,ZCTA5 04015,3808
8600000US04017,04017,ZCTA5 04017,341
8600000US04019,04019,ZCTA5 04019,71
8600000US04020,04020,ZCTA5 04020,1403
8600000US04021,04021,ZCTA5 04021,5820
8600000US04022,04022,ZCTA5 04022,1148
8600000US04024,04024,ZCTA5 04024,608
8600000US04027,04027,ZCTA5 04027,6031
8600000US04029,04029,ZCTA5 04029,1725
8600000US04030,04030,ZCTA5 04030,2208
8600000US04032,04032,ZCTA5 04032,7879
8600000US04037,04037,ZCTA5 04037,3834
8600000US04038,04038,ZCTA5 04038,16381
8600000US04039,04039,ZCTA5 04039,7422
8600000US04040,04040,ZCTA5 04040,3111
8600000US04041,04041,ZCTA5 04041,1613
8600000US04042,04042,ZCTA5 04042,4281
8600000US04043,04043,ZCTA5 04043,10810
8600000US04046,04046,ZCTA5 04046,7496
8600000US04047,04047,ZCTA5 04047,1892
8600000US04048,04048,ZCTA5 04048,2946
8600000US04049,04049,ZCTA5 04049,3659
8600000US04050,04050,ZCTA5 04050,230
8600000US04051,04051,ZCTA5 04051,1153
8600000US04055,04055,ZCTA5 04055,3793
8600000US04056,04056,ZCTA5 04056,257
8600000US04057,04057,ZCTA5 04057,56
8600000US04061,04061,ZCTA5 04061,3369
8600000US04062,04062,ZCTA5 04062,17020
8600000US04063,04063,ZCTA5 04063,412
8600000US04064,04064,ZCTA5 04064,8212
8600000US04066,04066,ZCTA5 04066,539
8600000US04068,04068,ZCTA5 04068,1505
8600000US04069,04069,ZCTA5 04069,1465
8600000US04071,04071,ZCTA5 04071,4801
8600000US04072,04072,ZCTA5 04072,18482
8600000US04073,04073,ZCTA5 04073,16189
8600000US04074,04074,ZCTA5 04074,18760
8600000US04076,04076,ZCTA5 04076,2683
8600000US04079,04079,ZCTA5 04079,3871
8600000US04083,04083,ZCTA5 04083,4525
8600000US04084,04084,ZCTA5 04084,8088
8600000US04085,04085,ZCTA5 04085,1786
8600000US04086,04086,ZCTA5 04086,8787
8600000US04087,04087,ZCTA5 04087,2116
8600000US04088,04088,ZCTA5 04088,1516
8600000US04090,04090,ZCTA5 04090,9589
8600000US04091,04091,ZCTA5 04091,911
8600000US04092,04092,ZCTA5 04092,17515
8600000US04093,04093,ZCTA5 04093,8034
8600000US04095,04095,ZCTA5 04095,1274
8600000US04096,04096,ZCTA5 04096,8349
8600000US04097,04097,ZCTA5 04097,3574
8600000US04101,04101,ZCTA5 04101,17227
8600000US04102,04102,ZCTA5 04102,17335
8600000US04103,04103,ZCTA5 04103,30606
8600000US04105,04105,ZCTA5 04105,11158
8600000US04106,04106,ZCTA5 04106,25175
8600000US04107,04107,ZCTA5 04107,8980
8600000US04108,04108,ZCTA5 04108,862
8600000US04109,04109,ZCTA5 04109,93
8600000US04110,04110,ZCTA5 04110,1391
8600000US04210,04210,ZCTA5 04210,23045
8600000US04216,04216,ZCTA5 04216,640
8600000US04217,04217,ZCTA5 04217,3312
8600000US04219,04219,ZCTA5 04219,1472
8600000US04220,04220,ZCTA5 04220,3077
8600000US04221,04221,ZCTA5 04221,1098
8600000US04222,04222,ZCTA5 04222,3848
8600000US04224,04224,ZCTA5 04224,3040
8600000US04226,04226,ZCTA5 04226,190
8600000US04227,04227,ZCTA5 04227,79
8600000US04228,04228,ZCTA5 04228,6
8600000US04231,04231,ZCTA5 04231,236
8600000US04234,04234,ZCTA5 04234,168
8600000US04236,04236,ZCTA5 04236,4350
8600000US04237,04237,ZCTA5 04237,238
8600000US04238,04238,ZCTA5 04238,1416
8600000US04239,04239,ZCTA5 04239,4851
8600000US04240,04240,ZCTA5 04240,36592
8600000US04250,04250,ZCTA5 04250,4228
8600000US04252,04252,ZCTA5 04252,4799
8600000US04253,04253,ZCTA5 04253,2095
8600000US04254,04254,ZCTA5 04254,3181
8600000US04255,04255,ZCTA5 04255,802
8600000US04256,04256,ZCTA5 04256,3064
8600000US04257,04257,ZCTA5 04257,2681
8600000US04258,04258,ZCTA5 04258,2617
8600000US04259,04259,ZCTA5 04259,3264
8600000US04260,04260,ZCTA5 04260,5542
8600000US04261,04261,ZCTA5 04261,444
8600000US04263,04263,ZCTA5 04263,2326
8600000US04265,04265,ZCTA5 04265,918
8600000US04267,04267,ZCTA5 04267,37
8600000US04268,04268,ZCTA5 04268,5023
8600000US04270,04270,ZCTA5 04270,5880
8600000US04271,04271,ZCTA5 04271,67
8600000US04274,04274,ZCTA5 04274,5343
8600000US04275,04275,ZCTA5 04275,514
8600000US04276,04276,ZCTA5 04276,5841
8600000US04280,04280,ZCTA5 04280,6474
8600000US04281,04281,ZCTA5 04281,5116
8600000US04282,04282,ZCTA5 04282,5734
8600000US04284,04284,ZCTA5 04284,1138
8600000US04285,04285,ZCTA5 04285,433
8600000US04286,04286,ZCTA5 04286,47
8600000US04287,04287,ZCTA5 04287,3224
8600000US04289,04289,ZCTA5 04289,1815
8600000US04290,04290,ZCTA5 04290,1541
8600000US04292,04292,ZCTA5 04292,948
8600000US04294,04294,ZCTA5 04294,3995
8600000US04330,04330,ZCTA5 04330,26086
8600000US04342,04342,ZCTA5 04342,1672
8600000US04343,04343,ZCTA5 04343,25
8600000US04344,04344,ZCTA5 04344,2951
8600000US04345,04345,ZCTA5 04345,11646
8600000US04346,04346,ZCTA5 04346,1772
8600000US04347,04347,ZCTA5 04347,2355
8600000US04348,04348,ZCTA5 04348,2976
8600000US04349,04349,ZCTA5 04349,1158
8600000US04350,04350,ZCTA5 04350,3577
8600000US04351,04351,ZCTA5 04351,2571
8600000US04352,04352,ZCTA5 04352,1632
8600000US04353,04353,ZCTA5 04353,2300
8600000US04354,04354,ZCTA5 04354,1535
8600000US04355,04355,ZCTA5 04355,2600
8600000US04357,04357,ZCTA5 04357,3399
8600000US04358,04358,ZCTA5 04358,4276
8600000US04359,04359,ZCTA5 04359,388
8600000US04360,04360,ZCTA5 04360,560
8600000US04363,04363,ZCTA5 04363,2575
8600000US04364,04364,ZCTA5 04364,6025
8600000US04401,04401,ZCTA5 04401,44899
8600000US04406,04406,ZCTA5 04406,819
8600000US04408,04408,ZCTA5 04408,176
8600000US04410,04410,ZCTA5 04410,1290
8600000US04411,04411,ZCTA5 04411,1492
8600000US04412,04412,ZCTA5 04412,9482
8600000US04413,04413,ZCTA5 04413,196
8600000US04414,04414,ZCTA5 04414,1248
8600000US04415,04415,ZCTA5 04415,276
8600000US04416,04416,ZCTA5 04416,5468
8600000US04417,04417,ZCTA5 04417,370
8600000US04418,04418,ZCTA5 04418,1771
8600000US04419,04419,ZCTA5 04419,2794
8600000US04421,04421,ZCTA5 04421,1366
8600000US04422,04422,ZCTA5 04422,1409
8600000US04424,04424,ZCTA5 04424,823
8600000US04426,04426,ZCTA5 04426,4720
8600000US04427,04427,ZCTA5 04427,2858
8600000US04428,04428,ZCTA5 04428,3146
8600000US04429,04429,ZCTA5 04429,4717
8600000US04430,04430,ZCTA5 04430,1728
8600000US04431,04431,ZCTA5 04431,81
8600000US04434,04434,ZCTA5 04434,1246
8600000US04435,04435,ZCTA5 04435,1092
8600000US04438,04438,ZCTA5 04438,1124
8600000US04441,04441,ZCTA5 04441,1840
8600000US04442,04442,ZCTA5 04442,93
8600000US04443,04443,ZCTA5 04443,2537
8600000US04444,04444,ZCTA5 04444,8824
8600000US04448,04448,ZCTA5 04448,1431
8600000US04449,04449,ZCTA5 04449,1489
8600000US04450,04450,ZCTA5 04450,1368
8600000US04451,04451,ZCTA5 04451,259
8600000US04453,04453,ZCTA5 04453,779
8600000US04454,04454,ZCTA5 04454,69
8600000US04455,04455,ZCTA5 04455,923
8600000US04456,04456,ZCTA5 04456,2851
8600000US04457,04457,ZCTA5 04457,5948
8600000US04459,04459,ZCTA5 04459,773
8600000US04460,04460,ZCTA5 04460,1419
8600000US04461,04461,ZCTA5 04461,3070
8600000US04462,04462,ZCTA5 04462,4835
8600000US04463,04463,ZCTA5 04463,2847
8600000US04464,04464,ZCTA5 04464,684
8600000US04468,04468,ZCTA5 04468,9521
8600000US04469,04469,ZCTA5 04469,2702
8600000US04471,04471,ZCTA5 04471,609
